Country of Birth,Type of Attendance,,Gender,,,,TOTAL
,Full-time,Part-time,Males,Females,"Indeterminate/
Intersex/
Unspecified",Not provided,
Australia,,,,,,,
Australia,"521,040","247,846","317,018","451,868",,,"768,886"
Oceania and Antarctica,,,,,,,
Australian Antartic Territory,49,66,37,78,,,115
Cook Islands,44,28,28,44,,,72
Fiji,"1,636","1,346","1,211","1,771",,,"2,982"
French Polynesia,13,11,9,15,,,24
Kiribati,7,14,11,10,,,21
Nauru,15,5,7,13,,,20
New Caledonia,45,16,25,36,,,61
New Zealand,"9,335","7,063","6,676","9,722",,,"16,398"
Niue,9,14,12,11,,,23
Papua New Guinea,637,671,483,825,,,"1,308"
Samoa,134,117,94,157,,,251
Solomon Islands,60,41,37,64,,,101
Tonga,115,81,86,110,,,196
Vanuatu,24,20,24,20,,,44
countries with fewer than 20 students,52,33,36,49,,,85
North-West Europe,,,,,,,
Austria,196,165,141,220,,,361
Belgium,148,78,93,133,,,226
Channel Islands,41,38,27,52,,,79
Denmark,142,102,91,153,,,244
England,"9,370","6,417","6,500","9,287",,,"15,787"
Finland,86,78,46,118,,,164
France,606,357,403,560,,,963
Germany,"1,526","1,153","1,057","1,622",,,"2,679"
Iceland,21,11,11,21,,,32
Ireland,751,988,693,"1,046",,,"1,739"
Isle of Man,18,5,12,11,,,23
Netherlands,531,569,460,640,,,"1,100"
Northern Ireland,136,192,137,191,,,328
Norway,109,65,61,113,,,174
Scotland,"1,073",899,822,"1,150",,,"1,972"
Sweden,251,168,150,269,,,419
Switzerland,368,235,233,370,,,603
"United Kingdom, nfd","4,126","4,975","3,824","5,277",,,"9,101"
Wales,341,458,303,496,,,799
countries with fewer than 20 students,31,18,17,32,,,49
Southern and Eastern Europe,,,,,,,
Albania,68,29,38,59,,,97
Belarus,39,43,36,46,,,82
Bosnia and Herzegovina,"1,046",515,626,935,,,"1,561"
Bulgaria,125,75,76,124,,,200
Croatia,632,378,394,616,,,"1,010"
Cyprus,99,84,69,114,,,183
Czech Republic,104,125,69,160,,,229
Estonia,22,9,11,20,,,31
Former Yugoslav Republic of Macedonia,352,230,236,346,,,582
"Former Yugoslavia, nfd",43,34,40,37,,,77
Greece,346,258,274,330,,,604
Hungary,188,165,150,203,,,353
Italy,474,436,419,491,,,910
Latvia,37,37,22,52,,,74
Lithuania,26,31,16,41,,,57
Malta,69,101,62,108,,,170
Moldova,40,34,29,45,,,74
